"Domain Zone","# of domains","In Public Suffix","Whois","% of TLD"
"com.af","152","Yes","Yes","17% of af"
"com.ar","421565","Yes","No","96% of ar"
"com.au","1820359","Yes","Yes","87% of au"
"com.bd","1780","No","No","99% of bd"
"com.bm","3","Yes","No","<1% of bm"
"com.bo","1931","Yes","Yes","84% of bo"
"com.br","1829609","Yes","Yes","53% of br"
"com.bs","33","Yes","No","14% of bs"
"com.cn","1089330","Yes","No","15% of cn"
"com.co","28609","Yes","Yes","2% of co"
"com.de","15624","Yes","Yes","<1% of de"
"com.dm","2","Yes","Yes","1% of dm"
"com.do","3355","Yes","No","74% of do"
"com.ec","5997","Yes","Yes","71% of ec"
"com.eg","1915","Yes","Yes","95% of eg"
"com.es","55373","Yes","Yes","4% of es"
"com.et","101","Yes","No","22% of et"
"com.fj","515","No","No","75% of fj"
"com.fr","870","Yes","Yes","<1% of fr"
"com.gh","489","Yes","No","97% of gh"
"com.gi","10","Yes","No","2% of gi"
"com.gl","1","Yes","Yes","<1% of gl"
"com.gn","36","Yes","No","37% of gn"
"com.gr","4902","Yes","Yes","2% of gr"
"com.gt","6821","Yes","No","96% of gt"
"com.gy","6","Yes","Yes","<1% of gy"
"com.hk","33470","Yes","Yes","66% of hk"
"com.hn","140","Yes","Yes","10% of hn"
"com.ht","7","Yes","Yes","2% of ht"
"com.im","13","Yes","Yes","<1% of im"
"com.iq","14","Yes","No","13% of iq"
"com.kh","1202","No","No","99% of kh"
"com.kp","6","Yes","No","30% of kp"
"com.kw","903","No","No","98% of kw"
"com.lc","5","Yes","No","1% of lc"
"com.lr","36","Yes","No","30% of lr"
"com.ly","305","Yes","Yes","4% of ly"
"com.mg","8","Yes","Yes","1% of mg"
"com.mm","308","No","No","67% of mm"
"com.ms","3","Yes","No","<1% of ms"
"com.mw","1","Yes","No","<1% of mw"
"com.mx","289051","Yes","Yes","63% of mx"
"com.my","90726","Yes","No","69% of my"
"com.nf","6","Yes","Yes","3% of nf"
"com.ng","3561","Yes","No","79% of ng"
"com.nr","2","Yes","No","5% of nr"
"com.pe","11126","Yes","Yes","61% of pe"
"com.pf","6","Yes","No","1% of pf"
"com.pg","1024","No","No","70% of pg"
"com.ph","14724","Yes","No","61% of ph"
"com.pk","15899","Yes","No","56% of pk"
"com.pl","125065","Yes","Yes","8% of pl"
"com.pr","179","Yes","Yes","44% of pr"
"com.pt","19971","Yes","Yes","11% of pt"
"com.ro","3172","Yes","Yes","1% of ro"
"com.ru","26415","Yes","Yes","<1% of ru"
"com.sa","5480","Yes","Yes","84% of sa"
"com.se","8","Yes","Yes","<1% of se"
"com.sg","73714","Yes","Yes","61% of sg"
"com.sl","5","Yes","No","1% of sl"
"com.so","9","Yes","Yes","<1% of so"
